Port Label,Time Plugged In,Time Unplugged,Total Time Plugged In
Dad,2023-09-29 17:08:40,2023-09-29 17:08:43,0:00:03.300190
Dad,2023-09-29 17:08:44,2023-09-29 17:08:45,0:00:01.525031
